CHAINAGE_START,CHAINAGE_END,EVENT,SWITCH_GROUP,EVENT_DESC,LATITUDE_START,LATITUDE_END,LONGITUDE_START,LONGITUDE_END,link_id,section_id,km_start,km_end,length,lane_no,survey_date
330.0,1769.0,a,pave_type.,ac,13.856109091467513,13.85516200561243,100.49059889366882,100.48194888144025,01900990008L1AC05,101641,0+000,2+520,1435,L1,20240726
1769.0,5980.0,a,pave_type.,ac,13.85516200561243,13.844028984260904,100.48194888144025,100.45893319450212,01900124046L1AC06,101655,0+000,4+300,4200,L1,20240726
