CHAINAGE_START,CHAINAGE_END,EVENT,SWITCH_GROUP,EVENT_DESC,LATITUDE_START,LATITUDE_END,LONGITUDE_START,LONGITUDE_END,link_id,section_id,km_start,km_end,length,lane_no,survey_date
399.0,4574.0,a,pave_type.,ac,13.850518101931788,13.844454432223415,100.44395112185204,100.46912309307699,01900124046R1AC03,101655,4+300,0+000,4179,R1,20240726
4574.0,6022.0,a,pave_type.,ac,13.844454432223415,13.849584709000077,100.46912309307699,100.47678496186701,01900990008R1AC04,101641,2+520,0+000,1449,R1,20240726
