CAMERA,NAME,DEVICE,SERIAL,INTERVAL,WIDTH,HEIGHT,FRAME_RATE,FORMAT,X_SCALE,Y_SCALE,DATA_FORMAT,PROCESSING_METHOD,ENABLE_MOBILE_MAPPING,DISP_PITCH,DISP_ROLL,DISP_YAW,DISP_X,DISP_Y,DISP_Z,HFOV,VFOV
1,ROW-0,XENO,6394983,5,0,0,0,422 YUV 8,0.0,0.0,-1,-1,True,0,0,0,0,0,0,0,0
2,PAVE-0,XENO,6394984,2,0,0,0,Mono 8,0.5,0.5,-1,-1,False,0,0,0,0,0,0,0,0
