event_str,event_end,event_num,event_type,event_name,link_id,section_id,km_start,km_end,length,lane_no,survey_date,lat_str,lat_end,lon_str,lon_end,name_key,run_code
246.0,4214.0,a,pave type,ac,01900888888R1AC03,101655,4+300,0+000,4179,R1,20240726,13.869094700908828,13.874114530941421,100.45195674127211,100.45622852934464,20240726_1,1
399.0,4574.0,a,pave type,ac,01900124046R1AC03,101655,4+300,0+000,4179,R1,20240726,13.850518101931788,13.844454432223415,100.44395112185204,100.46912309307699,20240726_2,2
4574.0,6022.0,a,pave type,ac,01900990008R1AC04,101641,2+520,0+000,1449,R1,20240726,13.844454432223415,13.849584709000077,100.46912309307699,100.47678496186701,20240726_2,2
330.0,1769.0,a,pave type,ac,01900990008L1AC05,101641,0+000,2+520,1435,L1,20240726,13.856109091467513,13.85516200561243,100.49059889366882,100.48194888144025,20240726_3,3
1769.0,5980.0,a,pave type,ac,01900124046L1AC06,101655,0+000,4+300,4200,L1,20240726,13.85516200561243,13.844028984260904,100.48194888144025,100.45893319450212,20240726_3,3
